latitude,longitude,brightness
13.86685,104.66378,339.32
13.86864,99.07859,349.79
13.87029,104.66319,337.13
13.87545,104.07127,333.21
13.87583,101.33701,335.56
13.8776,101.37109,331.68
13.88258,104.73947,335.86
13.88274,101.88485,337.75
13.88305,99.35258,333.97
13.88363,101.89001,331.93
13.88436,100.67365,341.05
13.8859,104.956,341.71
13.88645,102.09428,340.2
13.88659,99.35419,337.04
13.90177,101.3895,344.55
13.90241,101.39317,334.59
13.91283,101.42915,336.61
13.91545,99.17272,336.62
13.93207,104.52665,331.62
13.94131,100.94791,340.56
13.942,100.95182,345.69
13.94295,101.38996,330.45
13.94564,104.21519,335.87
13.94886,101.16147,330.75
13.94913,104.9146,335.72
13.95537,101.7941,337.04
13.95627,101.79931,339.62
13.96276,100.82193,331.08
13.96524,100.93159,344.86
13.971,102.47305,334.04
13.9796,100.16802,330.49
13.98397,104.58511,331.66
13.98472,104.20925,345.63
14.00906,100.88696,352.83
14.01108,98.27954,342.41
14.01109,104.71011,338.01
14.01125,98.28299,343.18
14.01166,98.89697,347.04
14.0117,104.71391,332.67
14.01201,98.89825,352.07
14.01582,98.89211,341.17
14.01612,101.42572,345.51
14.01641,98.89599,344.96
14.01675,98.89719,344.62
14.01799,100.129,330.66
14.0227,98.82499,338.83
14.02326,104.98288,333.23
14.02575,100.93253,331.53
14.02665,104.98232,340.19
14.02779,98.47344,332.35
14.03075,100.37665,335.22
14.03197,98.47421,341.73
14.0334,98.47616,340.64
14.03573,98.84135,337.67
14.03822,101.1957,335.48
14.03953,100.98629,345.11
14.04179,104.57977,336.05
14.04259,98.39198,340.66
14.04274,98.39494,351.9
14.04521,104.62244,334.54
14.05002,100.94819,331.57
14.0505,104.63334,331.93
14.05431,98.80829,343.62
14.05767,100.27094,336.81
14.05827,100.97077,342.73
14.07148,104.56684,335.23
14.07478,100.64738,335.19
14.08211,101.85494,332.12
14.08269,98.7739,350.21
14.10301,100.42054,333.65
14.10303,104.56544,346.09
14.1036,101.00225,332.59
14.10808,100.42393,337.97
14.12118,101.85067,346.35
14.12145,101.84782,334.94
14.1246,104.9624,338.24
14.12635,104.77687,339.83
14.13511,100.47503,339.4
14.13584,99.08787,337.08
14.14373,100.57162,343.91
14.15353,104.96907,334.37
14.16223,101.01926,349.45
14.16291,101.0231,344.31
14.16298,100.58074,342.75
14.16637,101.01849,353.88
14.16723,100.57995,343.78
14.16797,100.58405,343.16
14.1847,99.53422,336.37
14.20499,104.36947,340.82
14.23363,103.68092,341.5
14.23782,100.46905,330.28
14.25423,98.93075,333.25
14.25522,98.51321,341.23
14.25631,98.51031,352.22
14.25795,101.20902,342.34
14.26016,98.51268,342.24
14.26173,99.39317,342.32
14.27024,100.7692,336.33
14.27096,100.77316,330.76
14.27443,100.76841,341.18
14.27574,99.14597,331.82
14.27664,99.15069,337.37
14.27967,99.15234,339.15
14.2812,99.14927,339.42
14.28715,99.1404,342.66
14.30264,99.26214,347.84
14.30409,99.25996,342.91
14.30488,99.26433,335.97
14.30739,99.13431,333.31
14.3365,104.71392,350.83
14.3391,103.17281,349.86
14.33953,103.17603,338.12
14.34246,103.17103,334.15
14.35535,104.13525,340.33
14.36422,104.75591,335.85
14.36684,98.72141,334.67
14.3687,98.73132,335.63
14.37084,99.00247,341.9
14.37086,99.0055,343.58
14.37416,103.611,338.86
14.37549,98.71459,330.45
14.38393,101.02158,345.32
14.39025,98.97621,337.45
14.41564,100.53516,334.93
14.41818,100.53485,330.41
14.42077,98.26987,339.63
14.4208,98.2719,335.87
14.43155,103.01283,332.93
14.43282,104.96425,332.69
14.47092,99.58285,330.31
14.47108,98.64642,344.92
14.47138,99.58404,343.15
14.4717,99.58714,341.37
14.47199,98.65124,343.66
14.47448,99.32294,342.2
14.47584,98.6452,331.11
14.47676,98.65014,348.17
14.47993,99.3267,333.58
14.48083,99.33154,344.51
14.48191,100.5229,338.35
14.54513,99.32395,297.69
14.54586,99.32786,367
14.54663,99.33194,335.1
14.55037,99.32656,343.16
14.55115,99.3307,348.23
